lead_id,advisor_crd,contacted_date,target,total_jobs,days_since_last_move,current_tenure_days,avg_prior_tenure_days,prior_job_tenure_days,second_prior_job_tenure_days,moves_3yr_verified,tenure_decay_ratio,move_acceleration_ratio,recency_tier
00QVS000008BDFQ2A4,7280582,2024-07-05,0,3,905,1407,322.0,322,1407,2,4.37,0.23,Distant (> 2yr)
00QVS000008BDFy2AO,6509848,2024-06-23,0,3,2172,,758.6666666666667,464,1450,0,,0.32,Distant (> 2yr)
00QVS000008BDG22AO,2763669,2024-06-22,0,3,3096,,1384.3333333333333,1449,897,0,,1.62,Distant (> 2yr)
00QVS000008K9wt2AC,6529088,2024-08-01,0,3,1371,,1881.6666666666667,1869,1907,0,,0.98,Distant (> 2yr)
00QVS000008K9x22AC,6887711,2024-08-01,0,3,1763,,517.6666666666666,557,591,0,,0.94,Distant (> 2yr)
00QVS000008K9xJ2AS,6344914,2024-10-01,0,3,1546,,1764.6666666666667,1752,1790,0,,0.98,Distant (> 2yr)
00QVS000008K9xf2AC,6582829,2024-08-01,0,3,1399,1552,351.5,336,367,0,4.42,0.92,Distant (> 2yr)
00QVS000008K9xr2AC,5815397,2024-08-01,0,3,994,1010,3106.5,3068,3145,2,0.33,0.98,Distant (> 2yr)
00QVS000008KAC52AO,2124658,2024-08-01,0,3,4469,,1998.6666666666667,1889,2218,0,,0.85,Distant (> 2yr)
00QVS000008KAC62AO,5391827,2024-08-01,0,3,5207,,721.3333333333334,795,795,0,,1.0,Distant (> 2yr)
00QVS000008KACb2AO,1364526,2024-08-01,0,3,7237,,3241.6666666666665,4267,4267,0,,1.0,Distant (> 2yr)
00QVS000008Tyna2AC,3263405,2024-07-02,0,3,1155,1648,6355.0,4775,7935,0,0.26,0.6,Distant (> 2yr)
00QVS000008Tynw2AC,2288252,2024-07-02,0,3,5411,,2487.6666666666665,5262,921,0,,5.71,Distant (> 2yr)
00QVS000008Tynz2AC,4396943,2024-07-02,0,3,-458,1486,4739.0,1486,4739,0,0.31,0.31,Very Recent (< 6mo)
00QVS000008Tyo42AC,2872758,2024-07-02,0,3,7139,,1366.0,1840,1840,0,,1.0,Distant (> 2yr)
00QVS000008TyoC2AS,5717464,2024-07-02,0,3,4625,,528.0,528,528,0,,1.0,Distant (> 2yr)
00QVS000008TyoD2AS,2373533,2024-07-02,0,3,2740,,2899.6666666666665,2567,3565,0,,0.72,Distant (> 2yr)
00QVS000008TyoG2AS,4579093,2024-07-02,1,3,7438,,491.0,156,156,0,,1.0,Distant (> 2yr)
